fun6_3,fun6_6,fun7_3,fun7_6,fun6_3_bin,fun6_6_bin,fun7_3_bin,fun7_6_bin
1.0140617576759325E-4,7.963338156224964E-6,6.805575771249003E-6,7.3435307518710196E-6,0.03722407512770981,0.0372240876695375,0.03139117702268365,0.4960827849557518
3.259429961544047E-6,0.009715913407338739,8.646707985145653E-6,8.689601627534954E-6,0.009715909920600951,0.0781891889172151,0.01520488043200532,0.7284701351247048
0.009715909944940038,0.009715911557267087,9.605944012586145E-6,8.785195527215405E-6,0.03722407513927506,0.03722407533606609,0.015302518018109817,0.7033447000670112
8.508699523623875E-6,0.009274173407575914,8.365656850103508E-6,9.402985085292884E-6,9.331613871399469E-6,0.03722407574414621,0.03136562791448014,0.4941874834367117
0.009715917071687119,0.00971590988608978,8.075237907290088E-6,8.659481342369676E-6,0.037224075181266525,0.009716377222078798,0.01520488043200532,0.3967441391818924
1.3441679783676719E-6,0.009715914964980032,9.3952452789144E-6,9.777295878599192E-6,0.009715910277128592,0.0372240782445859,0.01520488043200532,0.39661166838700984
0.00971591186736398,0.00971590989036819,6.085135672934987E-6,9.509341078914071E-6,0.009715910191897992,0.0372241693467682,0.10490455464247248,0.8618608440765795
2.8057259116032185E-6,0.009715912468123256,8.676356184270425E-6,7.934078592104186E-6,0.009715910034762354,0.03722407846164516,0.12787463107679764,0.6710309822692293
2.4832763967919114E-6,0.009715951639314047,9.9841982841115E-6,9.053320123501519E-6,0.009715909879166762,0.009715909877563711,0.01520488043200532,1.178659848080166
2.294725758522631E-6,0.009715910001781625,9.025157548085437E-6,7.877013268214155E-6,0.037224075446062765,0.037224107596872336,0.03135311001876824,0.3966116461104773
