Euler

[0.09 , -2.2197478531377746 1.3388733613233255 ]
[0.19000000000000003 , -2.8563764799921723 0.49122801381724784 ]
[0.2900000000000001 , -3.1740027165221774 0.06929655206399457 ]
[0.3900000000000002 , -3.3096712728525253 -0.12878168303046214 ]
[0.49000000000000027 , -3.3342388275634334 -0.2080551379233182 ]
[0.5900000000000003 , -3.284078620225286 -0.22315552930134852 ]
[0.6900000000000004 , -3.177589941606597 -0.20245799819443377 ]
[0.7900000000000005 , -3.0237948301574606 -0.16066232067047237 ]
[0.8900000000000006 , -2.826814201606677 -0.10534443673999445 ]
[0.9900000000000007 , -2.588198195104832 -0.04036804884961928 ]

ReverseEuler

[0.09 , -2.165586729240304 1.4141350267685109 ]
[0.19000000000000003 , -2.7958025831920312 0.571623045538909 ]
[0.2900000000000001 , -3.12104836138772 0.13402176988672648 ]
[0.3900000000000002 , -3.265721029212404 -0.08203462914237504 ]
[0.49000000000000027 , -3.296749569633122 -0.17586058657752204 ]
[0.5900000000000003 , -3.2499002475782643 -0.2012136769527278 ]
[0.6900000000000004 , -3.144033187788756 -0.18715804860711527 ]
[0.7900000000000005 , -2.9888287149076 -0.14937204410153657 ]
[0.8900000000000006 , -2.788974378107519 -0.09627669948309062 ]
[0.9900000000000007 , -2.546433698187016 -0.03235722918938964 ]

Trapezoid

[0.09 , -2.1685286988323322 1.390016104097403 ]
[0.19000000000000003 , -2.7354129474530815 0.5759350952347887 ]
[0.2900000000000001 , -2.9505826882475805 0.18931001218444585 ]
[0.3900000000000002 , -2.9458738751770652 0.03441633109640686 ]
[0.49000000000000027 , -2.7903112485779777 0.0073524884119675355 ]
[0.5900000000000003 , -2.519495341786308 0.05303423716532113 ]
[0.6900000000000004 , -2.1512233827340834 0.14233319494611027 ]
[0.7900000000000005 , -1.6937921623847396 0.25992395602426815 ]
[0.8900000000000006 , -1.1504106341277929 0.3978238317480007 ]
[0.9900000000000007 , -0.5215444265540446 0.5519587709987354 ]

RungeKutta

[0.09 , -2.1964881193203167 1.3712496218259005 ]
[0.19000000000000003 , -2.830670544785776 0.5254168534979675 ]
[0.2900000000000001 , -3.151782683401543 0.09650551120149356 ]
[0.3900000000000002 , -3.2914044361351618 -0.10935363778810339 ]
[0.49000000000000027 , -3.3187562566316413 -0.19482030572611234 ]
[0.5900000000000003 , -3.2699991666882684 -0.21422149883807307 ]
[0.6900000000000004 , -3.1637598581164146 -0.19627120095079062 ]
[0.7900000000000005 , -3.00935666625537 -0.15610910593379226 ]
[0.8900000000000006 , -2.811157832109171 -0.10167967850948773 ]
[0.9900000000000007 , -2.5708903068317923 -0.037112240998656794 ]

PredictorCorrectorEulerReverseEuler

[0.09 , -2.170366699189233 1.4115331314335264 ]
[0.19000000000000003 , -2.8047011920240528 0.5675285369690661 ]
[0.2900000000000001 , -3.1338031307232246 0.12896483967680705 ]
[0.3900000000000002 , -3.282267342096706 -0.08780861742634795 ]
[0.49000000000000027 , -3.3171209507446875 -0.18224502325577568 ]
[0.5900000000000003 , -3.2741793365462026 -0.2081688076938365 ]
[0.6900000000000004 , -3.17232791526475 -0.19467595066480023 ]
[0.7900000000000005 , -3.0212609077575827 -0.15745978518518797 ]
[0.8900000000000006 , -2.8256744351615124 -0.10494837445234606 ]
[0.9900000000000007 , -2.5875381962654904 -0.04163027914707178 ]

PredictorCorrectorEulerTrapezoid

[0.09 , -2.193604176054917 1.3773289694229507 ]
[0.19000000000000003 , -2.829274229973184 0.5312277088372861 ]
[0.2900000000000001 , -3.15312295394283 0.10027067552636312 ]
[0.3900000000000002 , -3.2955843211328166 -0.10773322864899401 ]
[0.49000000000000027 , -3.325542399650926 -0.19495017524080163 ]
[0.5900000000000003 , -3.27912426011426 -0.21565615941578387 ]
[0.6900000000000004 , -3.1750155974655874 -0.19865014561572242 ]
[0.7900000000000005 , -3.022607210480679 -0.15917647383628558 ]
[0.8900000000000006 , -2.8263279008254667 -0.10526680540404808 ]
[0.9900000000000007 , -2.5879487532448313 -0.04111358859387966 ]
