Euler

[0.9900000000000007 , -0.3342060148622001 1.03182632641103 ]
[1.9900000000000015 , -0.21519550989875955 0.9187841649592027 ]
[2.9899999999999802 , -0.09108427113871778 0.9579566229325683 ]
[3.989999999999959 , -0.03497309895267362 0.9829774543223719 ]
[4.989999999999938 , -0.013017894129393302 0.9935525889130217 ]
[5.989999999999917 , -0.004793696834549489 0.997611312456762 ]
[6.989999999999895 , -0.0017584577803843615 0.9991218534012983 ]
[7.989999999999874 , -6.441576597269778E-4 0.9996780647031535 ]
[8.989999999999853 , -2.35849541221335E-4 0.999882094264674 ]
[9.989999999999831 , -8.633744591910842E-5 0.9999568338014915 ]

ReverseEuler

[0.9900000000000007 , -0.3253235230650022 1.0443876892641195 ]
[1.9900000000000015 , -0.21621346094349642 0.9204729195783758 ]
[2.9899999999999802 , -0.09317910710746105 0.9573553803441643 ]
[3.989999999999959 , -0.036277271377693196 0.9824058952424798 ]
[4.989999999999938 , -0.01366442592221876 0.9932429502590732 ]
[5.989999999999917 , -0.0050867188393862485 0.9974670155826136 ]
[6.989999999999895 , -0.0018854243135436322 0.9990587199355825 ]
[7.989999999999874 , -6.977260780026105E-4 0.9996513346369558 ]
[8.989999999999853 , -2.58048748609907E-4 0.9998710029114946 ]
[9.989999999999831 , -9.54161587414376E-5 0.9999522956869699 ]

Trapezoid

[0.9900000000000007 , -0.3297739690210613 1.0381024064551536 ]
[1.9900000000000015 , -0.21572646480754348 0.919606562825974 ]
[2.9899999999999802 , -0.09213687803789905 0.9576489456501421 ]
[3.989999999999959 , -0.03562393720362325 0.9826910911648299 ]
[4.989999999999938 , -0.013339178111658773 0.9933984881412679 ]
[5.989999999999917 , -0.004938831215550876 0.9975397970247398 ]
[6.989999999999895 , -0.0018211641241617556 0.9990906646490252 ]
[7.989999999999874 , -6.705431027631357E-4 0.9996648971613675 ]
[8.989999999999853 , -2.467554345809732E-4 0.9998766451139726 ]
[9.989999999999831 , -9.078611372541519E-5 0.9999546100328034 ]

RungeKutta

[0.9900000000000007 , -0.330501821147391 1.0370696410052154 ]
[1.9900000000000015 , -0.21563941878974974 0.9194693609992548 ]
[2.9899999999999802 , -0.09196274377444298 0.957699387962256 ]
[3.989999999999959 , -0.03551584026817978 0.982738542107894 ]
[4.989999999999938 , -0.01328565402181721 0.9934241359988487 ]
[5.989999999999917 , -0.004914590666506866 0.9975517366621262 ]
[6.989999999999895 , -0.0018106666069492225 0.9990958849353836 ]
[7.989999999999874 , -6.66116318853445E-4 0.9996671061570783 ]
[8.989999999999853 , -2.449218192594961E-4 0.9998775612534406 ]
[9.989999999999831 , -9.003658551632408E-5 0.9999549846966048 ]

PredictorCorrectorEulerReverseEuler

[0.9900000000000007 , -0.3253294091728943 1.0443814334451962 ]
[1.9900000000000015 , -0.21621474326699897 0.9204713638823794 ]
[2.9899999999999802 , -0.09317918260557895 0.9573551532428041 ]
[3.989999999999959 , -0.036277191610386776 0.9824059002772642 ]
[4.989999999999938 , -0.013664368874261047 0.9932429727702335 ]
[5.989999999999917 , -0.005086690186567629 0.9974670289130696 ]
[6.989999999999895 , -0.0018854114163383722 0.9990587262237984 ]
[7.989999999999874 , -6.977205436533224E-4 0.9996513373788294 ]
[8.989999999999853 , -2.5804643354728624E-4 0.9998710040650967 ]
[9.989999999999831 , -9.541520571343237E-5 0.9999522961628807 ]

PredictorCorrectorEulerTrapezoid

[0.9900000000000007 , -0.32971043138333417 1.0381751873328569 ]
[1.9900000000000015 , -0.2157178641799893 0.9196219642782059 ]
[2.9899999999999802 , -0.09213987643842499 0.9576497000908615 ]
[3.989999999999959 , -0.035626805447254245 0.9826900637198395 ]
[4.989999999999938 , -0.013340733499724483 0.9933977792467553 ]
[5.989999999999917 , -0.004939556249721131 0.9975394456812446 ]
[6.989999999999895 , -0.0018214813675827529 0.9990905077915893 ]
[7.989999999999874 , -6.706774208891172E-4 0.9996648302751949 ]
[8.989999999999853 , -2.468111670857463E-4 0.999876617289272 ]
[9.989999999999831 , -9.08089162328938E-5 0.9999545986378016 ]
